time,close,high,low,open,volumefrom,volumeto
1568678400,10198.62,10297.99,10152.47,10271.79,21680.68,221966422.11
1568764800,10163.38,10272.19,10100.9,10198.62,21739.97,221697128.61
1568851200,10281.03,10368.46,9641.11,10163.38,45685.81,456963432.6
1568937600,10176.38,10321.18,10065.55,10281.03,20930.03,213229233.56
1569024000,9988.38,10187.64,9944.61,10176.38,17868.39,179453539.43
1569110400,10036.98,10096.66,9871.97,9988.38,17799.44,178007946.58
1569196800,9694.6,10073.79,9636.2,10036.98,33287.92,327752087.22
1569283200,8542.54,9787.58,8107.01,9694.6,121811.28,1084866143.86
1569369600,8446.97,8752.2,8246.24,8542.54,74724.79,631898763.59
1569456000,8074.99,8471.02,7753.71,8446.97,80375.17,652614929.72
1569542400,8201.36,8304.22,7888.5,8074.99,48376.65,390323710.89
1569628800,8223.65,8345.03,8044.45,8201.36,29802.19,244186983.17
1569715200,8065.26,8265.99,7943.33,8223.65,28053.51,226712656.15
1569801600,8314.62,8372.24,7736.96,8065.26,50440.1,407250929.38
1569888000,8326.64,8537.6,8212.01,8314.62,42368,355446344.41
1569974400,8391.52,8403.51,8186.3,8326.64,24785.21,205325219.19
1570060800,8246.3,8434.63,8105.02,8391.52,30435.91,250685863.87
1570147200,8168.05,8267.11,8021.3,8246.3,26268.19,214500278.91
1570233600,8172.48,8232.25,8052.51,8168.05,17371.63,141685742.42
1570320000,7868.31,8221.03,7822.65,8172.48,30026.91,239636660.01
1570406400,8215.11,8326.01,7798.09,7868.31,39653.14,321239400.73
1570492800,8191.87,8354.19,8126.71,8215.11,21060.16,173334218.05
1570579200,8593.16,8697.56,8132.74,8191.87,47097.59,398201725.27
1570665600,8596.57,8672.58,8466.13,8593.16,29187.08,250267419.87
1570752000,8278.05,8834.11,8259.77,8596.57,38612.05,326882172.42
1570838400,8316.66,8439.44,8272.12,8278.05,11037.58,92609964.73
1570924800,8296.34,8498.59,8194.16,8316.66,20190.99,168896951.15
1571011200,8363.94,8414.24,8228.06,8296.34,17507.78,146015532.85
1571097600,8173.48,8439.31,8116.92,8363.94,24899.11,205674618.32
1571184000,8014.39,8193.41,7945.77,8173.48,34102.92,274670310.13
1571270400,8082.46,8145.5,7948.95,8014.39,21657.02,175172893.7
1571356800,7972.62,8157.36,7850.66,8082.46,27732.54,221065928.44
1571443200,7973.63,8108.69,7919.05,7972.62,17875.39,143202359.39
1571529600,8247.25,8326.13,7911.49,7973.63,25287.68,205394286.06
1571616000,8223.25,8359.52,8177.11,8247.25,22831.65,188511539.86
1571702400,8034.5,8318.41,8021.36,8223.25,24453.79,200593851.39
1571788800,7479.54,8071.8,7336.06,8034.5,60122.39,457672451.42
1571875200,7444.2,7524.31,7370.13,7479.54,28580.18,213663114.76
1571961600,8671.1,8783.85,7431.2,7444.2,79777.72,656574822.36
1572048000,9258.98,10380.48,8654.84,8671.1,154648.62,1457875080.4
1572134400,9550.6,9805.42,9114.58,9258.98,64673.13,614726341.04
1572220800,9222.23,9934.71,9201.49,9550.6,54907.49,522287119.66
1572307200,9432.86,9565.11,9099.36,9222.23,40284.46,377872980.92
1572393600,9169.86,9441.8,9018.3,9432.86,34376.01,315824657.23
1572480000,9157.52,9423.16,8972,9169.86,35891.86,329788397.17
1572566400,9260.59,9308.62,9072.62,9157.52,27365.39,251360754.52
1572652800,9311.99,9400.44,9223.46,9260.59,17135.45,159847329.63
1572739200,9221.61,9396.1,9108.22,9311.99,15670.3,144662760.99
1572825600,9421.54,9578.74,9141,9221.61,29435.09,275923701.7
1572912000,9323.61,9495.36,9196.64,9421.54,24971.55,233491267.4
1572998400,9347.27,9455.53,9269.82,9323.61,22338.76,208985449.5
1573084800,9208.52,9382.63,9114.14,9347.27,21322.07,196879610.6
1573171200,8772.31,9263.83,8682.74,9208.52,41674.91,371135404.96
1573257600,8822.19,8881.08,8732.62,8772.31,13145.33,116025279.26
1573344000,9045.85,9126.98,8767.94,8822.19,18134.09,162649216.87
1573430400,8726.31,9084.49,8619.78,9045.85,25750.4,226035620.33
1573516800,8815.14,8868.85,8576.09,8726.31,22305.54,194901130.1
1573603200,8773.82,8840.33,8721.68,8815.14,15828.57,138900524.48
1573689600,8640.42,8811.04,8584.92,8773.82,18999.7,164630654.03
1573776000,8468.57,8773.4,8393.29,8640.42,31281.14,267441968.16
1573862400,8498.94,8539.42,8442.03,8468.57,9355.13,79597461.02
1573948800,8515.28,8641.12,8411.3,8498.94,14296.75,122271717.68
1574035200,8190.16,8537.87,8075.63,8515.28,30048.32,250358969.38
1574121600,8133.57,8215.95,8016.54,8190.16,24402.6,198180594.35
1574208000,8093.6,8232.23,8047.73,8133.57,18105.11,147086043.41
1574294400,7632.59,8133.73,7437.33,8093.6,45760.44,354377783.29
1574380800,7292.2,7721.9,6815.03,7632.59,94065.31,680349857.19
1574467200,7339.24,7368.18,7119.41,7292.2,25474.86,185099411.4
1574553600,6930.09,7364.59,6888.89,7339.24,35108.24,249710266.27
1574640000,7138.23,7386.06,6560.13,6930.09,85742.76,596056755.83
1574726400,7170.11,7350.44,7042.5,7138.23,36264.64,259675008.66
1574812800,7531.5,7681.51,6873.1,7170.11,66406.48,485895588.26
1574899200,7442.33,7663.45,7388.79,7531.5,29886.7,225350756.08
1574985600,7769.38,7872.17,7425.49,7442.33,37243.54,285280637.6
1575072000,7571.77,7821.01,7487.1,7769.38,24778.5,189533166.63
1575158400,7420.53,7575.5,7261.95,7571.77,30676.77,226245528.68
1575244800,7320.94,7442.62,7193.09,7420.53,25163.31,184009273.35
1575331200,7313.64,7420.34,7260.93,7320.94,18521.73,135997337.7
1575417600,7207.78,7764.68,7110.76,7313.64,49046.2,360525572.37
1575504000,7406.75,7492.96,7175.85,7207.78,30054.36,220875659.79
1575590400,7558.58,7607.79,7323.86,7406.75,28169.83,209851296.57
1575676800,7514.86,7640.51,7503.1,7558.58,14093.87,106572219.77
1575763200,7539.7,7594.8,7414.51,7514.86,15949.09,120000308.79
1575849600,7350.62,7667.04,7296.42,7539.7,35089.72,262161330.42
1575936000,7233.84,7403.64,7176.42,7350.62,23348.59,170419385.84
1576022400,7212.01,7284.74,7167.13,7233.84,19799.94,143267855.45
1576108800,7199.39,7307.96,7105.35,7212.01,28003.83,201666958.32
1576195200,7261.72,7308.08,7199.39,7199.39,18725.31,135777984.61
1576281600,7080.29,7283.78,7033.14,7261.72,15624.21,111796861.42
1576368000,7132.39,7204.93,7030.37,7080.29,15972.7,113742866.17
1576454400,6897.33,7172.46,6869.19,7132.39,39619.58,278223344.11
1576540800,6635.84,6948.12,6585.46,6897.33,46023.51,310739632.42
1576627200,7294.53,7442.26,6450.69,6635.84,71573.09,491429584.47
1576713600,7159.26,7376.98,7057.66,7294.53,34799.1,249541907.16
1576800000,7203.41,7234.56,7094.06,7159.26,23556.25,168963964.55
1576886400,7159.47,7213.86,7132.82,7203.41,12101.12,86864836.52
1576972800,7517.58,7527.4,7143.17,7159.47,27325.26,200586646.53
1577059200,7326.6,7694.65,7275.28,7517.58,44770.93,336425000.06
1577145600,7260.91,7429.42,7175.5,7326.6,27770.75,203013413.87
1577232000,7202.72,7280.52,7132.3,7260.91,15012.21,108513256.34
1577318400,7207.23,7442.21,7167.44,7202.72,23254.3,169067214.27
1577404800,7253.82,7267.46,7061.61,7207.23,25489.38,183588691.22
1577491200,7316.23,7368.09,7253.61,7253.82,14542.71,106581355.23
1577577600,7399.49,7540.65,7295.33,7316.23,18230.94,135257936.53
1577664000,7234.44,7414.07,7224.79,7399.49,23030.92,168180498.67
1577750400,7183.88,7325.24,7141.94,7234.44,19424.26,140384995.27
1577836800,7189.94,7267.16,7171.82,7183.88,11872,85986188.11
1577923200,6965.72,7224.84,6945.83,7189.94,26531.32,187393954.35
1578009600,7339.7,7407.11,6882.62,6965.72,51975.01,376690440.38
1578096000,7357.5,7405.75,7278.6,7339.7,22083.57,162106895.05
1578182400,7359.96,7501.42,7330.07,7357.5,24084.13,179147746.87
1578268800,7762.69,7799.63,7355.11,7359.96,46443.66,352286216.6
1578355200,8160.36,8218.63,7736.57,7762.69,75423.75,600054472.25
1578441600,8045.15,8458.65,7873.97,8160.36,85087.59,699004342.7
1578528000,7817.35,8047.11,7757.04,8045.15,40045.64,316199456.84
1578614400,8190.31,8192.05,7682.56,7817.35,55534.09,441131626.25
1578700800,8024.58,8287.42,8003.87,8190.31,30734.63,250060123.9
1578787200,8181.49,8185.14,7968.4,8024.58,17525.61,142197585.82
1578873600,8106.56,8200.4,8057.37,8181.49,22746,184437465.66
1578960000,8820.95,8874.07,8106.4,8106.56,89444.78,768098459.01
1579046400,8813.21,8890.04,8559.93,8820.95,50394.79,441186933.78
1579132800,8719.63,8846.78,8586.56,8813.21,33539.82,290989712.92
1579219200,8894.83,9004.35,8665.99,8719.63,48787.4,432856377.78
1579305600,8909.28,8974.65,8807.26,8894.83,19872.9,176837362.25
1579392000,8702.59,9177.39,8508.15,8909.28,47750.9,421483277.31
