Exchange Date,Close,Net,%Chg,Open,Low,High,Volume
04-Sep-2019,"7,719.246",+109.733,+1.442%,"7,683.781","7,663.641","7,724.912","152,705,086"
05-Sep-2019,"7,862.539",+143.293,+1.856%,"7,803.452","7,803.452","7,879.968","177,165,360"
06-Sep-2019,"7,852.539",-10.000,-0.127%,"7,868.874","7,835.890","7,874.990","143,928,770"
09-Sep-2019,"7,832.403",-20.136,-0.256%,"7,876.404","7,795.859","7,877.414","164,515,441"
10-Sep-2019,"7,814.742",-17.661,-0.225%,"7,793.275","7,743.615","7,817.583","169,118,776"
11-Sep-2019,"7,887.581",+72.839,+0.932%,"7,820.712","7,812.072","7,888.342","174,737,830"
12-Sep-2019,"7,917.340",+29.759,+0.377%,"7,931.965","7,907.332","7,975.326","172,945,694"
13-Sep-2019,"7,892.955",-24.385,-0.308%,"7,903.725","7,879.593","7,923.413","137,908,426"
16-Sep-2019,"7,852.412",-40.543,-0.514%,"7,833.733","7,831.761","7,868.735","127,984,493"
17-Sep-2019,"7,888.786",+36.374,+0.463%,"7,849.880","7,840.986","7,891.208","131,293,604"
18-Sep-2019,"7,888.556",-0.230,-0.003%,"7,877.583","7,791.582","7,891.169","148,226,986"
19-Sep-2019,"7,901.792",+13.236,+0.168%,"7,904.395","7,888.307","7,950.207","136,331,984"
20-Sep-2019,"7,823.553",-78.239,-0.990%,"7,901.462","7,794.271","7,920.532","425,831,216"
23-Sep-2019,"7,818.610",-4.943,-0.063%,"7,815.233","7,790.286","7,842.978","138,566,667"
24-Sep-2019,"7,710.044",-108.566,-1.389%,"7,855.971","7,684.800","7,873.254","205,299,263"
25-Sep-2019,"7,803.541",+93.497,+1.213%,"7,706.501","7,647.634","7,822.431","154,551,309"
26-Sep-2019,"7,771.992",-31.549,-0.404%,"7,794.279","7,718.692","7,798.119","146,934,248"
27-Sep-2019,"7,681.579",-90.413,-1.163%,"7,786.028","7,626.817","7,790.804","170,022,483"
30-Sep-2019,"7,749.449",+67.870,+0.884%,"7,705.970","7,693.493","7,761.839","144,629,254"
01-Oct-2019,"7,684.142",-65.307,-0.843%,"7,782.818","7,675.419","7,821.725","150,444,543"
02-Oct-2019,"7,550.786",-133.356,-1.735%,"7,627.591","7,513.690","7,631.338","187,735,233"
03-Oct-2019,"7,638.395",+87.609,+1.160%,"7,557.193","7,463.571","7,640.424","152,625,556"
04-Oct-2019,"7,754.102",+115.707,+1.515%,"7,677.325","7,670.916","7,759.360","134,982,187"
07-Oct-2019,"7,725.129",-28.973,-0.374%,"7,725.684","7,712.676","7,784.790","130,610,627"
08-Oct-2019,"7,604.270",-120.859,-1.564%,"7,671.382","7,603.760","7,707.174","152,358,435"
09-Oct-2019,"7,690.529",+86.259,+1.134%,"7,678.664","7,655.478","7,717.937","114,220,572"
10-Oct-2019,"7,740.362",+49.833,+0.648%,"7,688.418","7,682.614","7,772.678","126,742,037"
11-Oct-2019,"7,843.875",+103.513,+1.337%,"7,835.931","7,831.107","7,904.051","180,491,876"
14-Oct-2019,"7,842.334",-1.541,-0.020%,"7,834.745","7,827.157","7,865.672","112,426,545"
15-Oct-2019,"7,942.851",+100.517,+1.282%,"7,867.964","7,863.652","7,960.137","126,116,292"
16-Oct-2019,"7,920.209",-22.642,-0.285%,"7,911.988","7,898.315","7,941.764","134,259,078"
17-Oct-2019,"7,942.144",+21.935,+0.277%,"7,976.643","7,914.939","7,981.142","124,567,898"
18-Oct-2019,"7,868.491",-73.653,-0.927%,"7,938.296","7,829.754","7,946.810","176,073,011"
21-Oct-2019,"7,940.331",+71.840,+0.913%,"7,911.583","7,887.739","7,941.484","133,086,209"
22-Oct-2019,"7,874.616",-65.715,-0.828%,"7,968.246","7,871.981","7,977.009","139,015,132"
23-Oct-2019,"7,889.473",+14.857,+0.189%,"7,858.477","7,845.087","7,890.206","136,793,320"
24-Oct-2019,"7,966.719",+77.246,+0.979%,"7,956.234","7,912.717","7,969.657","158,182,829"
25-Oct-2019,"8,029.217",+62.498,+0.784%,"7,926.601","7,926.601","8,033.292","150,679,007"
28-Oct-2019,"8,110.669",+81.452,+1.014%,"8,071.392","8,070.896","8,119.734","140,842,487"
29-Oct-2019,"8,047.509",-63.160,-0.779%,"8,101.549","8,045.644","8,108.606","135,776,723"
30-Oct-2019,"8,083.113",+35.604,+0.442%,"8,056.900","8,017.918","8,096.325","140,824,130"
31-Oct-2019,"8,083.832",+0.719,+0.009%,"8,100.617","8,041.655","8,110.436","180,212,258"
01-Nov-2019,"8,161.167",+77.335,+0.957%,"8,121.950","8,111.731","8,161.978","162,536,279"
04-Nov-2019,"8,210.664",+49.497,+0.606%,"8,218.928","8,197.318","8,228.325","150,903,853"
05-Nov-2019,"8,210.175",-0.489,-0.006%,"8,225.345","8,191.051","8,229.093","153,802,275"
06-Nov-2019,"8,196.028",-14.147,-0.172%,"8,204.338","8,157.359","8,204.338","144,669,780"
07-Nov-2019,"8,219.646",+23.618,+0.288%,"8,237.680","8,198.914","8,271.817","166,564,922"
08-Nov-2019,"8,255.886",+36.240,+0.441%,"8,208.371","8,186.312","8,256.287","135,065,500"
11-Nov-2019,"8,241.912",-13.974,-0.169%,"8,212.373","8,202.361","8,245.890","112,624,911"
12-Nov-2019,"8,263.789",+21.877,+0.265%,"8,249.616","8,238.328","8,293.181","129,357,422"
13-Nov-2019,"8,259.813",-3.976,-0.048%,"8,235.683","8,233.380","8,274.610","136,689,831"
14-Nov-2019,"8,257.831",-1.982,-0.024%,"8,238.852","8,212.594","8,264.941","132,491,755"
